Frase,Tipo de misoginia
Las mujeres no saben manejar,Odio
Calladita te ves más bonita,Odio
Eres una histérica,Odio
Seguro está en sus días,Odio
No llores como niña,Odio
"Mujer al volante, peligro constante",Odio
Por eso te dejaron sola,Odio
Eso te pasa por andar sola a esas horas,Odio
Una mujer sin hijos no es una mujer completa,Odio
Solo sirven para la cocina,Odio
Las mujeres se deben a su hombre,Sexualización
"Si te vistes así, es porque quieres que te miren",Sexualización
Está pidiendo a gritos que la... (agredan/asedien),Sexualización
Las mujeres tienen fecha de caducidad,Sexualización
Las mujeres que saben mucho espantan a los hombres,Sexualización
"No te quejes, seguro te gustó",Sexualización
Las mujeres fáciles no se respetan,Sexualización
"Si no das el sí, es porque te haces la difícil",Sexualización
El hombre es el que manda en la casa,Violencia
Las mujeres deben obedecer a su marido,Violencia
Ella lo provocó,Violencia
"Si te pega, es porque te quiere",Violencia
No seas tan intensa,Violencia
Una mujer decente no anda sola en la calle,Violencia
Las mujeres deben esperar a que las conquisten,Violencia
"No necesitas estudiar tanto, mejor cásate",Violencia
Esa es una feminazi,Odio
Mujer tenía que ser,Odio
Todas las mujeres son unas interesadas,Odio
Las mujeres solo buscan quién las mantenga,Odio
Por eso las matan,Odio
Las mujeres no saben de política/deportes/negocios,Odio
Seguro subió de puesto porque se acostó con alguien,Odio
Ella se lo buscó,Odio
Las mujeres no son buenas para las matemáticas,Estereotipo
Las mujeres deben ser delicadas y femeninas,Estereotipo
Las mujeres son demasiado emocionales para liderar,Estereotipo
"Si no tienes hijos, ¿qué estás haciendo con tu vida?",Estereotipo
"Una mujer que no sabe cocinar, no sirve",Estereotipo
